file_id,filename,file_size_bytes,transcription_time_seconds,transcription_text,model_id,started_at,processed_at
c72d18b3bcfe3174,200401008_200401008.m4a,325430,52.83,I will learn nursing and maybe two years after I will now write JAM to go into the university to Fodhammo. Maybe into becoming a doctor or maybe still on that nursing. Thank you.,openai/whisper-large-v3-turbo,2026-07-16T13:50:29.476310+00:00,2026-07-16T13:51:22.304304+00:00
decad4d741dfd6e8,200401011_200401011.m4a,245875,43.83,"I will work for a while after working for a while. I will start pursuing my career in becoming a nurse, going to university.",openai/whisper-large-v3-turbo,2026-07-16T13:51:22.305305+00:00,2026-07-16T13:52:06.139039+00:00
de17683e3280e298,200402002_200402002.m4a,112130,35.8,Je suis un des fashion designers.,openai/whisper-large-v3-turbo,2026-07-16T13:52:06.140053+00:00,2026-07-16T13:52:41.939130+00:00
b3d8c953977af473,200402050_200402050.m4a,311417,36.57,"Any skills, maybe like hairdressing and makeup, then do some salary jobs for like a few months, maybe two or three months, and I'll apply for school to be a lawyer.",openai/whisper-large-v3-turbo,2026-07-16T13:52:41.939130+00:00,2026-07-16T13:53:18.508668+00:00
218b22f64ddf02e7,200403011_200403011.m4a,377300,36.73,"After second school, I went to go and learn work. After learning work, I will now go back to the University of Vegas. After that, after I finished, I will serve. After serving, I will now get married.",openai/whisper-large-v3-turbo,2026-07-16T13:53:18.508668+00:00,2026-07-16T13:53:55.236730+00:00
fe556f479ba1110e,200403015_200403015.m4a,191704,35.91,"I would like to further more in my education, which is Business Administration.",openai/whisper-large-v3-turbo,2026-07-16T13:53:55.237730+00:00,2026-07-16T13:54:31.150229+00:00
adcb0bc33f8b3577,200403020_200403020.m4a,198108,36.77,"When I finish my school, I want to further out more to start business administration so that I can be a business woman.",openai/whisper-large-v3-turbo,2026-07-16T13:54:31.159229+00:00,2026-07-16T13:55:07.926215+00:00
6035f1442caef9bc,200403027_200403027.m4a,693647,37.84,"Thank you. My name is Nipisani Staka. What I wish to become if I graduate from my school. Firstly, I would look for a small job to start making money before preparing for my university. Because I don't want everything I should be waiting for my parents to do all. So I have to assist them. And then, the more I'm going to school, if I come back from holiday, I would like to continue my life.",openai/whisper-large-v3-turbo,2026-07-16T13:55:07.926215+00:00,2026-07-16T13:55:45.766943+00:00
bd5c3f58ae6a2d13,200403039_200403039.m4a,173491,36.04,I want to go to the university and study accounting so as to build a chartered accountant in the future.,openai/whisper-large-v3-turbo,2026-07-16T13:55:45.768448+00:00,2026-07-16T13:56:21.810157+00:00
8cee54e68b2c041a,200404022_200404022.m4a,127302,36.43,Onde o story for business admin?,openai/whisper-large-v3-turbo,2026-07-16T13:56:21.810157+00:00,2026-07-16T13:56:58.237673+00:00
ef19acecb307e956,200404023_200404023.m4a,97335,34.89,I want to go and learn work. Laza.,openai/whisper-large-v3-turbo,2026-07-16T13:56:58.238674+00:00,2026-07-16T13:57:33.133620+00:00
a507ef8f2d9b85a3,200404026_200404026.m4a,354631,35.64,I want to become a business admin but before I go to school I would like to learn how to do something like trade. Maybe learn fashion design or baking.,openai/whisper-large-v3-turbo,2026-07-16T13:57:33.134618+00:00,2026-07-16T13:58:08.778295+00:00
e35069d018c7f334,200404031_200404031.m4a,236381,35.71,My plan after secondary school is to engage in monthly jobs so that I can help my parents in furthering more on my education.,openai/whisper-large-v3-turbo,2026-07-16T13:58:08.779295+00:00,2026-07-16T13:58:44.492733+00:00
7c5cf459975553cd,200404040_200404040.m4a,520506,38.74,"After graduating from secondary school, I would like to write my jam and go to a university of my choice to study, I think either being a business administrator or a financial analyst. Though I'm still looking between those two. I don't know which to pick yet. But I believe God will guide me on my way.",openai/whisper-large-v3-turbo,2026-07-16T13:58:44.493716+00:00,2026-07-16T13:59:23.230180+00:00
a121babfd901d326,200501007_200501007.m4a,184506,37.22,"I'm planning, like, I should travel to my mommy's police and live a better life.",openai/whisper-large-v3-turbo,2026-07-16T13:59:23.231208+00:00,2026-07-16T14:00:00.453178+00:00
d4c72a3107c06b06,200501010_200501010.m4a,352717,37.05,I want to be a medical doctor by assisting all people in our community and providing what they need. But I pray God you assist me and provide for my parents to greet me and to create more activities to my studies.,openai/whisper-large-v3-turbo,2026-07-16T14:00:00.453178+00:00,2026-07-16T14:00:37.506725+00:00
bcb80eaa8b2d7bcf,200501017_200501017.m4a,204936,38.57,"I want to be a medical doctor when I'm out of school so that I can help lives, save people and do other stuff for them.",openai/whisper-large-v3-turbo,2026-07-16T14:00:37.506725+00:00,2026-07-16T14:01:16.074504+00:00
f68feeb48a9941d0,200501023_200501023.m4a,630760,36.9,"After secondary school, I want to make something good in my life.",openai/whisper-large-v3-turbo,2026-07-16T14:01:16.074504+00:00,2026-07-16T14:01:52.979727+00:00
507dc30eeffef42d,200501024_200501024.m4a,251539,37.62,"After graduating from secondary school, I would like to go to the university and study nursing. And after that, I will proceed my...",openai/whisper-large-v3-turbo,2026-07-16T14:01:52.981277+00:00,2026-07-16T14:02:30.604507+00:00
24fca1c98c935e5a,200501027_200501027.m4a,214039,39.68,I want to be a medical doctor. I want to be a medical doctor. I want to be a medical doctor.,openai/whisper-large-v3-turbo,2026-07-16T14:02:30.604507+00:00,2026-07-16T14:03:10.289404+00:00
2dbf527ca4c367b4,200501031_200501031.m4a,201538,37.49,"After secondary school, I would like to go to an institution to further my education, study and I become someone great in life.",openai/whisper-large-v3-turbo,2026-07-16T14:03:10.290912+00:00,2026-07-16T14:03:47.786273+00:00
784ed6587f596369,200502001_200502001.m4a,345507,48.58,"What I would like to do after I got it from senior and secondary school, after writing my work and my job, I would love to sit down for my post-Utme in my school that I was assigned for. Then after getting there, I would love to study an English language and I would love to become a teacher.",openai/whisper-large-v3-turbo,2026-07-16T14:03:47.787272+00:00,2026-07-16T14:04:36.370855+00:00
85bf2230af113250,200502002_200502002.m4a,180761,47.13,I want to go to the fashion designer. I want to go to the fashion designer.,openai/whisper-large-v3-turbo,2026-07-16T14:04:36.373855+00:00,2026-07-16T14:05:23.504960+00:00
ee98995a83476cae,200502009_200502009.m4a,297394,38.75,When I grow up I want to become a lawyer. When I finish my secondary school I want to become a lawyer. In my university I want to go and study law. That's all.,openai/whisper-large-v3-turbo,2026-07-16T14:05:23.505960+00:00,2026-07-16T14:06:02.255797+00:00
707bbce0dc942ffe,200502013_200502013.m4a,147391,75.9,"After second school, I'll find maybe I'll go on lanes to walk.",openai/whisper-large-v3-turbo,2026-07-16T14:06:02.257300+00:00,2026-07-16T14:07:18.157664+00:00
60a8106930676ed7,200502014_200502014.m4a,113681,44.16,How to become a police?,openai/whisper-large-v3-turbo,2026-07-16T14:07:18.159189+00:00,2026-07-16T14:08:02.314995+00:00
ce27beb959474b25,200502018_200502018.m4a,219376,36.87,I want to become an artist in the future.,openai/whisper-large-v3-turbo,2026-07-16T14:08:02.318068+00:00,2026-07-16T14:08:39.192579+00:00
97728eabbfa2c960,200502021_200502021.m4a,185634,37.49,"I want to go and learn work. But before learning work, after I will go and study law at University of Laosu. Thank you.",openai/whisper-large-v3-turbo,2026-07-16T14:08:39.192579+00:00,2026-07-16T14:09:16.683008+00:00
85e914f3f3ee820a,200503004_200503004.m4a,107967,37.19,I finished school. I'm just going to do K-TRA.,openai/whisper-large-v3-turbo,2026-07-16T14:09:16.684005+00:00,2026-07-16T14:09:53.878114+00:00
012d89883ca1ba0f,200503006_200503006.m4a,296618,40.73,"I want to become an officer, like force, force like army, because I really wish to become an army. It's my dream, everything I have to become is like army, because I really love the job, I really love the force. That's it. Thank you, ma'am.",openai/whisper-large-v3-turbo,2026-07-16T14:09:53.879738+00:00,2026-07-16T14:10:34.606650+00:00
36448f86bd60826f,200503013_200503013.m4a,172359,35.4,I want to be a writer and I want to go to Uni-Lag University to finish.,openai/whisper-large-v3-turbo,2026-07-16T14:10:34.609649+00:00,2026-07-16T14:11:10.006701+00:00
6312097773195136,200503017_200503017.m4a,125813,34.81,I want to go to university to go and learn for artists.,openai/whisper-large-v3-turbo,2026-07-16T14:11:10.007701+00:00,2026-07-16T14:11:44.816942+00:00
a75191d70ce61c47,200503021_200503021.m4a,143244,34.83,"When I finished secondary school, I went to study arts.",openai/whisper-large-v3-turbo,2026-07-16T14:11:44.817940+00:00,2026-07-16T14:12:19.650263+00:00
91e483241fdc29c5,200504007_200504007.m4a,245877,35.47,"I would like to study in the UK, like, do the master there, like, just have a good day there. In the UK, I have much.",openai/whisper-large-v3-turbo,2026-07-16T14:12:19.651264+00:00,2026-07-16T14:12:55.121879+00:00
c86be6bfbdd61c2c,200504028_200504028.m4a,242499,36.24,"I'll go to school, I'll look for work, I'll make small money after writing jam, I'll go to school. I want to be in business. Business. That's it.",openai/whisper-large-v3-turbo,2026-07-16T14:12:55.122879+00:00,2026-07-16T14:13:31.360732+00:00
2de09d5be999125f,200504030_200504030.m4a,186015,36.24,I like to learn what can do some specialties or something.,openai/whisper-large-v3-turbo,2026-07-16T14:13:31.361734+00:00,2026-07-16T14:14:07.605828+00:00
2ca5e78ebdba5135,200504032_200504032.m4a,217468,38.59,Police. Police. Police.,openai/whisper-large-v3-turbo,2026-07-16T14:14:07.606829+00:00,2026-07-16T14:14:46.201908+00:00
f0de2122bfb123a8,201101017_201101017.m4a,480755,37.89,"After graduating from secondary school, I'm going to learn a hand skill which is... Should I say it? Which is hairdressing and makeup. And from there, I'll do my jam and pray I get admission to university. Is that right? Yes.",openai/whisper-large-v3-turbo,2026-07-16T14:14:46.202911+00:00,2026-07-16T14:15:24.097148+00:00
753cd058a81c112f,201101033_201101033.m4a,393239,35.95,So what I would like to do is I'm aspiring to gain admission into university to study medicine and surgery. So I did JAMA already so I'm waiting for my work results.,openai/whisper-large-v3-turbo,2026-07-16T14:15:24.100146+00:00,2026-07-16T14:16:00.051052+00:00
78a63e51445981ec,201102007_201102007.m4a,266336,37.81,"After graduating from second school, I will go and work for one year. After one year, I'm going to write my job and go to university. That's all.",openai/whisper-large-v3-turbo,2026-07-16T14:16:00.051052+00:00,2026-07-16T14:16:37.866506+00:00
d4e8c8a40f8f6b32,201102013_201102013.m4a,550082,41.69,"First of all, I would like to go and work. I will work like salary work to help my parents. So I'm going for artists, theater arts. I want to become a future artist in life, so make money. So I will give my parents money, take care of them, do needs for my parents and settle down.",openai/whisper-large-v3-turbo,2026-07-16T14:16:37.866506+00:00,2026-07-16T14:17:19.561664+00:00
695745bfce66710f,201102019_201102019.m4a,327326,39.25,"After my school, after my history, I would like to go learn and work. I would like to learn computer and photographer and makeup artist.",openai/whisper-large-v3-turbo,2026-07-16T14:17:19.562678+00:00,2026-07-16T14:17:58.811523+00:00
763c9e699d8146e9,201102026_201102026.m4a,242826,45.17,I'd like to further my education to study criminology in the university. Then after then I'll have my master's degree in outside country.,openai/whisper-large-v3-turbo,2026-07-16T14:17:58.812525+00:00,2026-07-16T14:18:43.983237+00:00
3a41ca51dc5f296e,201102027_201102027.m4a,264432,47.12,"So then after I would like to study mass communication, the GSC University.",openai/whisper-large-v3-turbo,2026-07-16T14:18:43.986237+00:00,2026-07-16T14:19:31.104662+00:00
c79dfd8fafeaa603,201103002_201103002.m4a,155685,45.08,I want to be a Nigerian Navy and if not possible I want to be an artist.,openai/whisper-large-v3-turbo,2026-07-16T14:19:31.105663+00:00,2026-07-16T14:20:16.183630+00:00
87005bf598a7cff8,201103010_201103010.m4a,152309,45.92,To work for some months and then get admission and go to school.,openai/whisper-large-v3-turbo,2026-07-16T14:20:16.184635+00:00,2026-07-16T14:21:02.108915+00:00
8510227a5e289033,201104002_201104002.m4a,459921,38.26,"I'll become a journalist. After the second year, I went to university. After that, it's my job, I went to university. Then after university, NYC, after that, I'll become a journalist if I see everything. And marriage and that.",openai/whisper-large-v3-turbo,2026-07-16T14:21:02.109915+00:00,2026-07-16T14:21:40.367809+00:00
6252b0f7b005ee9d,201104003_201104003.m4a,227688,34.83,"To university, to study political science and become a lecturer.",openai/whisper-large-v3-turbo,2026-07-16T14:21:40.368808+00:00,2026-07-16T14:22:15.202844+00:00
71323a655da81691,201104010_201104010.m4a,219434,34.91,"After secondary school, I want to go to the university and that's all. I want to go to the main city.",openai/whisper-large-v3-turbo,2026-07-16T14:22:15.202844+00:00,2026-07-16T14:22:50.111793+00:00
eb12c418ff668aa2,201104012_201104012.m4a,320490,36.9,"Actually, I was planning to go to university even though there's no money, I still kept it in mind. So I plan to go to university next year. Meanwhile, I'm a fashion designer, although I have not finished learning it. So I'm thinking maybe when I work for that year, maybe I will be able to put together some money and work for that.",openai/whisper-large-v3-turbo,2026-07-16T14:22:50.112794+00:00,2026-07-16T14:23:27.009701+00:00
97fbc9f08f8ca513,201104020_201104020.m4a,154951,34.98,I want to be a fashion designer after school. That's it. Yes ma'am.,openai/whisper-large-v3-turbo,2026-07-16T14:23:27.009701+00:00,2026-07-16T14:24:01.989005+00:00
2a2e3a54fee554aa,201104025_201104025.m4a,128787,36.82,I want to become a lawyer.,openai/whisper-large-v3-turbo,2026-07-16T14:24:01.995001+00:00,2026-07-16T14:24:38.814006+00:00
848e5251771aa953,201301002_201301002.m4a,164778,36.18,After finishing my secondary school I also will learn work then next year I will be preparing for my university.,openai/whisper-large-v3-turbo,2026-07-16T14:24:38.815006+00:00,2026-07-16T14:25:14.998049+00:00
695d160d10a914f5,201301007_201301007.m4a,172383,34.22,I want to study medicine to become a pediatric doctor. Yes.,openai/whisper-large-v3-turbo,2026-07-16T14:25:14.999054+00:00,2026-07-16T14:25:49.219408+00:00
1ff57e1a574301b4,201301017_201301017.m4a,422399,35.88,"After my secondary school, I want to get an admission into university to go study nursing and helping people in need and also having my own hospital for treating and diagnosing and helping people. Thank you.",openai/whisper-large-v3-turbo,2026-07-16T14:25:49.220413+00:00,2026-07-16T14:26:25.096826+00:00
6b02e20d6f3dbfab,201301023_201301023.m4a,256858,46.89,After graduating from secondary school I would like to learn work and when I'm mature to go to school I'll just write my jam and go to school but I'll try to learn work first.,openai/whisper-large-v3-turbo,2026-07-16T14:26:25.097827+00:00,2026-07-16T14:27:11.985129+00:00
6b9a218b2d652a00,201302013_201302013.m4a,261020,40.38,"I would like to have my own shop and my own business. Just my business. Okay, after a second you want to have your own business? Yes. Is that all?",openai/whisper-large-v3-turbo,2026-07-16T14:27:11.986128+00:00,2026-07-16T14:27:52.367422+00:00
93cde0016ba110f2,201302023_201302023.m4a,202678,35.17,"I would like to become a banker in future. So after my second year school, I would like to go to university to study banking and finance there.",openai/whisper-large-v3-turbo,2026-07-16T14:27:52.367422+00:00,2026-07-16T14:28:27.538234+00:00
e38ed0db8a4c4625,201303009_201303009.m4a,175038,35.98,"I want to chase my dream of becoming an accountant, a chartered accountant. Thank you.",openai/whisper-large-v3-turbo,2026-07-16T14:28:27.539234+00:00,2026-07-16T14:29:03.515480+00:00
